,State,State_index,Action,Reward,Next_State
4307,"[1, 3, 0, 0, 0]",112,81,0.37575184449645416,100
4308,"[1, 2, 1, 0, 0]",100,26,0.4328758259207904,149
4309,"[2, 1, 1, 0, 1]",149,44,0.30083568448792786,153
4310,"[2, 1, 2, 0, 1]",153,27,0.2666542428260745,147
4311,"[2, 1, 0, 1, 1]",147,26,0.30611101413240316,126
4312,"[1, 3, 3, 1, 0]",126,24,0.18598435982504594,98
4313,"[1, 2, 0, 1, 0]",98,15,0.0,126
4314,"[1, 3, 3, 1, 0]",126,15,0.5043362335907254,133
4315,"[2, 0, 1, 0, 1]",133,25,0.2991970457024439,151
4316,"[2, 1, 1, 1, 1]",151,30,0.29107871631458404,102
4317,"[1, 2, 1, 1, 0]",102,27,0.16308542613533566,112
4318,"[1, 3, 0, 0, 0]",112,87,0.0,96
4319,"[1, 2, 0, 0, 0]",96,38,0.3878934586769523,143
4320,"[2, 0, 3, 1, 1]",143,4,0.2919665999773158,104
4321,"[1, 2, 2, 0, 0]",104,16,0.29631133118737774,153
4322,"[2, 1, 2, 0, 1]",153,47,0.3522324208419055,106
4323,"[1, 2, 2, 1, 0]",106,23,0.3721125766259296,147
4324,"[2, 1, 0, 1, 1]",147,17,0.2919665999773158,155
4325,"[2, 1, 2, 1, 1]",155,24,0.2852703976590915,139
4326,"[2, 0, 2, 1, 1]",139,26,0.28412617552721686,143
4327,"[2, 0, 3, 1, 1]",143,22,0.2915241949824506,155
4328,"[2, 1, 2, 1, 1]",155,26,0.2932185820359349,131
4329,"[2, 0, 0, 1, 1]",131,12,0.15310726863459473,118
4330,"[1, 3, 1, 1, 0]",118,15,0.0,159
4331,"[2, 1, 3, 1, 1]",159,2,0.15347865377880213,64
4332,"[1, 0, 0, 0, 0]",64,39,0.3434022728401653,137
4333,"[2, 0, 2, 0, 1]",137,1,0.1996235980675244,126
4334,"[1, 3, 3, 1, 0]",126,18,0.0,114
4335,"[1, 3, 0, 1, 0]",114,142,0.372097156039407,90
4336,"[1, 1, 2, 1, 0]",90,27,0.47995084130170257,203
4337,"[3, 0, 2, 1, 1]",203,8,0.14597444706713944,129
4338,"[2, 0, 0, 0, 1]",129,37,0.2759612025534193,145
4339,"[2, 1, 0, 0, 1]",145,31,0.27204014244084235,207
4340,"[3, 0, 3, 1, 1]",207,21,0.25715076500769896,98
4341,"[1, 2, 0, 1, 0]",98,45,0.49118115347200747,98
4342,"[1, 2, 0, 1, 0]",98,18,0.17485355519158624,114
4343,"[1, 3, 0, 1, 0]",114,41,0.4525685442337793,114
4344,"[1, 3, 0, 1, 0]",114,41,0.31177588926356614,197
4345,"[3, 0, 1, 0, 1]",197,104,0.45812275291393834,118
4346,"[1, 3, 1, 1, 0]",118,22,0.2879735239679748,211
4347,"[3, 1, 0, 1, 1]",211,17,0.25715076500769896,203
4348,"[3, 0, 2, 1, 1]",203,7,0.2983129933706417,223
4349,"[3, 1, 3, 1, 1]",223,130,0.23439928066997273,118
4350,"[1, 3, 1, 1, 0]",118,10,0.35870442387872187,213
4351,"[3, 1, 1, 0, 1]",213,14,0.2232849316696832,197
4352,"[3, 0, 1, 0, 1]",197,21,0.25715076500769896,193
4353,"[3, 0, 0, 0, 1]",193,25,0.38794160027946734,233
4354,"[3, 2, 2, 0, 1]",233,29,0.2456067414919227,201
4355,"[3, 0, 2, 0, 1]",201,21,0.24931034055762788,197
4356,"[3, 0, 1, 0, 1]",197,20,0.25715076500769896,118
4357,"[1, 3, 1, 1, 0]",118,1,0.0,201
4358,"[3, 0, 2, 0, 1]",201,14,0.1440614321388253,197
4359,"[3, 0, 1, 0, 1]",197,19,0.25715076500769896,213
4360,"[3, 1, 1, 0, 1]",213,44,0.25715076500769896,108
4361,"[1, 2, 3, 0, 0]",108,28,0.2967908219516911,219
4362,"[3, 1, 2, 1, 1]",219,26,0.41150735630349267,106
4363,"[1, 2, 2, 1, 0]",106,20,0.21311172034468504,126
4364,"[1, 3, 3, 1, 0]",126,35,0.38178225759763523,118
4365,"[1, 3, 1, 1, 0]",118,12,0.0,203
4366,"[3, 0, 2, 1, 1]",203,9,0.12443323569270971,126
4367,"[1, 3, 3, 1, 0]",126,14,0.14900073631417082,203
4368,"[3, 0, 2, 1, 1]",203,26,0.17315058838603167,106
4369,"[1, 2, 2, 1, 0]",106,24,0.396791229109135,207
4370,"[3, 0, 3, 1, 1]",207,15,0.2613493046383228,122
4371,"[1, 3, 2, 1, 0]",122,9,0.0,102
4372,"[1, 2, 1, 1, 0]",102,14,0.18184428041033132,126
4373,"[1, 3, 3, 1, 0]",126,15,0.4079048460510464,122
4374,"[1, 3, 2, 1, 0]",122,12,0.043182459765909585,122
4375,"[1, 3, 2, 1, 0]",122,26,0.3164391015223145,112
4376,"[1, 3, 0, 0, 0]",112,68,1.0,120
4377,"[1, 3, 2, 0, 0]",120,79,0.37590477742889306,118
4378,"[1, 3, 1, 1, 0]",118,14,0.36418922177203505,114
4379,"[1, 3, 0, 1, 0]",114,36,0.1983090767404444,207
4380,"[3, 0, 3, 1, 1]",207,23,0.12916946378120953,215
4381,"[3, 1, 1, 1, 1]",215,1,0.02251786139078107,205
4382,"[3, 0, 3, 0, 1]",205,17,0.2630453922697597,219
4383,"[3, 1, 2, 1, 1]",219,8,0.15353409957481312,110
4384,"[1, 2, 3, 1, 0]",110,15,0.3721125766259296,106
4385,"[1, 2, 2, 1, 0]",106,3,0.24638869170001523,122
4386,"[1, 3, 2, 1, 0]",122,21,0.39136538836717777,126
4387,"[1, 3, 3, 1, 0]",126,17,0.29086215056323395,201
4388,"[3, 0, 2, 0, 1]",201,34,0.7465932410484277,201
4389,"[3, 0, 2, 0, 1]",201,13,0.25715076500769896,217
4390,"[3, 1, 2, 0, 1]",217,23,0.24954289746425076,217
4391,"[3, 1, 2, 0, 1]",217,20,0.2461735462078864,104
4392,"[1, 2, 2, 0, 0]",104,24,0.29445747696360225,104
4393,"[1, 2, 2, 0, 0]",104,24,0.3613540104219018,201
4394,"[3, 0, 2, 0, 1]",201,26,0.2610630267936767,209
4395,"[3, 1, 0, 0, 1]",209,15,0.13093235496303024,197
4396,"[3, 0, 1, 0, 1]",197,24,0.0,219
4397,"[3, 1, 2, 1, 1]",219,21,0.12543864118961937,219
4398,"[3, 1, 2, 1, 1]",219,52,0.25727022295059676,114
4399,"[1, 3, 0, 1, 0]",114,15,0.2522439343443297,126
4400,"[1, 3, 3, 1, 0]",126,39,0.20753590628779328,209
4401,"[3, 1, 0, 0, 1]",209,27,0.38569717342142706,104
4402,"[1, 2, 2, 0, 0]",104,17,0.3384835658254723,114
4403,"[1, 3, 0, 1, 0]",114,80,0.5056111103799031,114
4404,"[1, 3, 0, 1, 0]",114,42,0.31286715572814044,102
4405,"[1, 2, 1, 1, 0]",102,45,0.14800269923512727,114
4406,"[1, 3, 0, 1, 0]",114,18,0.254582812959833,205
4407,"[3, 0, 3, 0, 1]",205,2,0.25715076500769896,201
4408,"[3, 0, 2, 0, 1]",201,15,0.10989016968399863,217
4409,"[3, 1, 2, 0, 1]",217,16,0.2682385192652605,201
4410,"[3, 0, 2, 0, 1]",201,16,0.24801071978544156,217
4411,"[3, 1, 2, 0, 1]",217,84,0.3735673394836597,209
4412,"[3, 1, 0, 0, 1]",209,33,0.3794648189471913,193
4413,"[3, 0, 0, 0, 1]",193,21,0.2599752455773781,217
4414,"[3, 1, 2, 0, 1]",217,17,0.26755294392720336,145
4415,"[2, 1, 0, 0, 1]",145,38,0.2858329935888879,120
4416,"[1, 3, 2, 0, 0]",120,15,0.1517921953668074,129
4417,"[2, 0, 0, 0, 1]",129,47,0.2747452241341968,139
4418,"[2, 0, 2, 1, 1]",139,9,0.27478805691551617,126
4419,"[1, 3, 3, 1, 0]",126,79,0.5195313332757777,114
4420,"[1, 3, 0, 1, 0]",114,70,0.06723128261218198,106
4421,"[1, 2, 2, 1, 0]",106,11,0.0,155
4422,"[2, 1, 2, 1, 1]",155,5,0.0,151
4423,"[2, 1, 1, 1, 1]",151,3,0.2640772519027418,155
4424,"[2, 1, 2, 1, 1]",155,3,0.2739382184146137,135
4425,"[2, 0, 1, 1, 1]",135,26,0.2741134053257249,137
4426,"[2, 0, 2, 0, 1]",137,1,0.29921370168345535,147
4427,"[2, 1, 0, 1, 1]",147,15,0.27409341150947647,135
4428,"[2, 0, 1, 1, 1]",135,36,0.3803648969089001,104
4429,"[1, 2, 2, 0, 0]",104,19,0.4595002875689596,137
4430,"[2, 0, 2, 0, 1]",137,90,0.2991806398420186,137
4431,"[2, 0, 2, 0, 1]",137,93,0.27749398956644766,104
4432,"[1, 2, 2, 0, 0]",104,27,0.5209655761506293,133
4433,"[2, 0, 1, 0, 1]",133,15,0.27525209446314414,155
4434,"[2, 1, 2, 1, 1]",155,18,0.22571614755207456,151
4435,"[2, 1, 1, 1, 1]",151,18,0.2752620065579892,175
4436,"[2, 2, 3, 1, 1]",175,15,0.0,106
4437,"[1, 2, 2, 1, 0]",106,30,0.0,104
4438,"[1, 2, 2, 0, 0]",104,17,0.37560808506361704,155
4439,"[2, 1, 2, 1, 1]",155,36,0.2804559309349285,118
4440,"[1, 3, 1, 1, 0]",118,81,0.36564764301627045,122
4441,"[1, 3, 2, 1, 0]",122,15,0.0,90
4442,"[1, 1, 2, 1, 0]",90,27,0.3545923426182181,102
4443,"[1, 2, 1, 1, 0]",102,57,0.38456312536985127,122
4444,"[1, 3, 2, 1, 0]",122,89,0.3146352274628175,114
4445,"[1, 3, 0, 1, 0]",114,66,0.396356077662209,110
4446,"[1, 2, 3, 1, 0]",110,27,0.09835387872350075,114
