,State,Action,Reward,Reward_Terms,Next_State
21,"[0.8281703165684917, 0.04829715551075958, 9.8000196000392e-05, 0.25, 0.71568214770123, 1.0, 0.0, 0.0, 1.0]",142,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 50000.0, -0.1057628454003337, 1.0, 15181449.477756504, 5186551.90524477, 6631443.416368009)","[0.0693740986378415, 0.09394515737717775, 0.00019800039600079201, 0.25, 0.7091342780973762, 0.0, 1.0, 0.0, 1.0]"
22,"[0.0693740986378415, 0.09394515737717775, 0.00019800039600079201, 0.25, 0.7091342780973762, 0.0, 1.0, 0.0, 1.0]",105,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 100000.0, -0.1057628454003337, 1.0, 1249031.9464744995, 5186551.90524477, 6631443.416368009)","[0.836486946103781, 0.04826254682876631, 0.19499838999677999, 0.25, 0.721294607361676, 1.0, 0.0, 1.0, 0.0]"
23,"[0.836486946103781, 0.04826254682876631, 0.19499838999677999, 0.25, 0.721294607361676, 1.0, 0.0, 1.0, 0.0]",35,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 97500000.0, -0.1057628454003337, -1.0, 15334152.8682065, 5186551.90524477, 6631443.416368009)","[0.8364530158800629, 0.013080390062227444, 9.8000196000392e-05, 0.5, 0.6581544361816566, 1.0, 0.0, 0.0, 1.0]"
24,"[0.8364530158800629, 0.013080390062227444, 9.8000196000392e-05, 0.5, 0.6581544361816566, 1.0, 0.0, 0.0, 1.0]",105,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 50000.0, -0.1057628454003337, 1.0, 15333529.8682065, 5186551.90524477, 6631443.416368009)","[0.0696258642641657, 0.09396430700787259, 0.029998059996119993, 0.125, 0.7203591974182685, 0.0, 1.0, 0.0, 1.0]"
25,"[0.0696258642641657, 0.09396430700787259, 0.029998059996119993, 0.125, 0.7203591974182685, 0.0, 1.0, 0.0, 1.0]",65,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 15000000.0, -0.1057628454003337, 1.0, 1253654.6682844996, 5186551.90524477, 6631443.416368009)","[0.08658279708758497, 0.1810469087627502, 0.001348002696005392, 0.25, 0.6717178803610683, 0.0, 1.0, 0.0, 1.0]"
26,"[0.08658279708758497, 0.1810469087627502, 0.001348002696005392, 0.25, 0.6717178803610683, 0.0, 1.0, 0.0, 1.0]",46,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 675000.0, -0.1057628454003337, 1.0, 1565004.4912845, 5186551.90524477, 6631443.416368009)","[0.8363375550866722, 0.061201207905626574, 0.01999803999607999, 0.25, 0.7540339553809456, 1.0, 0.0, 1.0, 0.0]"
27,"[0.8363375550866722, 0.061201207905626574, 0.01999803999607999, 0.25, 0.7540339553809456, 1.0, 0.0, 1.0, 0.0]",39,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 10000000.0, -0.1057628454003337, -1.0, 15331409.8682065, 5186551.90524477, 6631443.416368009)","[0.07044705366864264, 0.2638051073134766, 0.01599803199606399, 0.125, 0.712408212899303, 0.0, 1.0, 0.0, 1.0]"
28,"[0.07044705366864264, 0.2638051073134766, 0.01599803199606399, 0.125, 0.712408212899303, 0.0, 1.0, 0.0, 1.0]",39,0.28941108632945506,"(674622.160635952, 2194227.8587135216, 8000000.0, -0.1057628454003337, 1.0, 1268732.7002844997, 5186551.90524477, 6631443.416368009)","[0.05643589456007121, 0.243802112599781, 0.001998003996007992, 0.5, 0.6824750947102568, 0.0, 1.0, 0.0, 1.0]"
29,"[0.05643589456007121, 0.243802112599781, 0.001998003996007992, 0.5, 0.6824750947102568, 0.0, 1.0, 0.0, 1.0]",50,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 1000000.0, -0.1057628454003337, 1.0, 1011470.8502844998, 5186551.90524477, 6631443.416368009)","[0.05643589456007121, 0.41359165210559584, 0.003998007996015992, 0.0, 0.7596464150413919, 0.0, 1.0, 1.0, 0.0]"
30,"[0.05643589456007121, 0.41359165210559584, 0.003998007996015992, 0.0, 0.7596464150413919, 0.0, 1.0, 1.0, 0.0]",11,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 2000000.0, -0.1057628454003337, -1.0, 1011470.8502844998, 5186551.90524477, 6631443.416368009)","[0.0563623699982422, 0.2025907179130181, 0.009998019996039992, 0.25, 0.6244796782189795, 0.0, 1.0, 1.0, 0.0]"
31,"[0.0563623699982422, 0.2025907179130181, 0.009998019996039992, 0.25, 0.6244796782189795, 0.0, 1.0, 1.0, 0.0]",39,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 5000000.0, -0.1057628454003337, -1.0, 1010120.8502844998, 5186551.90524477, 6631443.416368009)","[0.0563623699982422, 0.09396430700787259, 0.005998011996023992, 0.25, 0.7058603432954491, 0.0, 1.0, 1.0, 0.0]"
32,"[0.0563623699982422, 0.09396430700787259, 0.005998011996023992, 0.25, 0.7058603432954491, 0.0, 1.0, 1.0, 0.0]",11,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 3000000.0, -0.1057628454003337, -1.0, 1010120.8502844998, 5186551.90524477, 6631443.416368009)","[0.8256258389976787, 0.04811524077655443, 0.01999803999607999, 0.25, 0.7138113278144146, 1.0, 0.0, 0.0, 1.0]"
33,"[0.8256258389976787, 0.04811524077655443, 0.01999803999607999, 0.25, 0.7138113278144146, 1.0, 0.0, 0.0, 1.0]",26,0.15977928174524272,"(674622.160635952, 2194227.8587135216, 10000000.0, -0.1057628454003337, 1.0, 15134729.7879665, 5186551.90524477, 6631443.416368009)","[0.8263199011234248, 0.012825393817481807, 0.02548569337138674, 0.125, 0.675459520134699, 1.0, 0.0, 1.0, 0.0]"
34,"[0.8263199011234248, 0.012825393817481807, 0.02548569337138674, 0.125, 0.675459520134699, 1.0, 0.0, 1.0, 0.0]",23,0.16384261445511578,"(674622.160635952, 2194227.8587135216, 12743821.2, -0.1057628454003337, -1.0, 15147473.6091665, 5186551.90524477, 6631443.416368009)","[0.8263199011234248, 0.012835838242904126, 0.0059087541175082345, 0.125, 0.6735887002478836, 1.0, 0.0, 1.0, 0.0]"
35,"[0.8263199011234248, 0.012835838242904126, 0.0059087541175082345, 0.125, 0.6735887002478836, 1.0, 0.0, 1.0, 0.0]",35,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 2955371.15, -0.1057628454003337, -1.0, 15147473.6091665, 5186551.90524477, 6631443.416368009)","[0.8263725298479297, 0.0009431944623853561, 0.0019306581013162026, 0.25, 0.6586221411533605, 1.0, 0.0, 1.0, 0.0]"
36,"[0.8263725298479297, 0.0009431944623853561, 0.0019306581013162026, 0.25, 0.6586221411533605, 1.0, 0.0, 1.0, 0.0]",12,0.117389418510501,"(674622.160635952, 2194227.8587135216, 966327.12, -0.1057628454003337, -1.0, 15148439.936286502, 5186551.90524477, 6631443.416368009)","[0.07547427733871759, 0.31976998706534426, 0.006498012996025992, 0.125, 0.7269070670221223, 0.0, 1.0, 1.0, 0.0]"
37,"[0.07547427733871759, 0.31976998706534426, 0.006498012996025992, 0.125, 0.7269070670221223, 0.0, 1.0, 1.0, 0.0]",18,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 3250000.0, -0.1057628454003337, -1.0, 1361038.6152844997, 5186551.90524477, 6631443.416368009)","[0.07547427733871759, 0.18041231714480654, 0.007198014396028792, 0.125, 0.678733454936626, 0.0, 1.0, 1.0, 0.0]"
38,"[0.07547427733871759, 0.18041231714480654, 0.007198014396028792, 0.125, 0.678733454936626, 0.0, 1.0, 1.0, 0.0]",34,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 3600000.0, -0.1057628454003337, -1.0, 1361038.6152844997, 5186551.90524477, 6631443.416368009)","[0.8167925384386862, 0.0009128608625115426, 0.039638079276158554, 0.25, 0.6843459145970722, 1.0, 0.0, 1.0, 0.0]"
39,"[0.8167925384386862, 0.0009128608625115426, 0.039638079276158554, 0.25, 0.6843459145970722, 1.0, 0.0, 1.0, 0.0]",27,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 19820000.0, -0.1057628454003337, -1.0, 14972539.691786502, 5186551.90524477, 6631443.416368009)","[0.07547427733871759, 0.09333086950239879, 9.8000196000392e-05, 0.25, 0.7067957532388568, 0.0, 1.0, 0.0, 1.0]"
40,"[0.07547427733871759, 0.09333086950239879, 9.8000196000392e-05, 0.25, 0.7067957532388568, 0.0, 1.0, 0.0, 1.0]",133,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 50000.0, -0.1057628454003337, 1.0, 1361038.6152844997, 5186551.90524477, 6631443.416368009)","[0.08636680501708999, 0.35826118730518075, 0.3999987999976, 0.25, 0.669379355502549, 0.0, 1.0, 1.0, 0.0]"
41,"[0.08636680501708999, 0.35826118730518075, 0.3999987999976, 0.25, 0.669379355502549, 0.0, 1.0, 1.0, 0.0]",46,1.0,"(674622.160635952, 2194227.8587135216, 200000000.0, -0.1057628454003337, -1.0, 1561038.6152844997, 5186551.90524477, 6631443.416368009)","[0.08010360160202586, 0.18041231714480654, 0.009998019996039992, 0.625, 0.6595575510967682, 0.0, 1.0, 0.0, 1.0]"
42,"[0.08010360160202586, 0.18041231714480654, 0.009998019996039992, 0.625, 0.6595575510967682, 0.0, 1.0, 0.0, 1.0]",149,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 5000000.0, -0.1057628454003337, 1.0, 1446038.6152844997, 5186551.90524477, 6631443.416368009)","[0.0813241664052325, 0.09333086950239879, 9.8000196000392e-05, 0.25, 0.6707824704176606, 0.0, 1.0, 0.0, 1.0]"
43,"[0.0813241664052325, 0.09333086950239879, 9.8000196000392e-05, 0.25, 0.6707824704176606, 0.0, 1.0, 0.0, 1.0]",102,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 50000.0, -0.1057628454003337, 1.0, 1468449.6632844994, 5186551.90524477, 6631443.416368009)","[0.843089190055969, 0.024550158611108222, 0.5999991999984, 0.5, 0.6838782096253683, 1.0, 0.0, 1.0, 0.0]"
44,"[0.843089190055969, 0.024550158611108222, 0.5999991999984, 0.5, 0.6838782096253683, 1.0, 0.0, 1.0, 0.0]",7,0.24151209969920903,"(674622.160635952, 2194227.8587135216, 300000000.0, -0.1057628454003337, -1.0, 15455378.063076502, 5186551.90524477, 6631443.416368009)","[0.843089190055969, 0.13017525422618578, 0.003698007396014792, 0.125, 0.7750806791076189, 1.0, 0.0, 1.0, 0.0]"
45,"[0.843089190055969, 0.13017525422618578, 0.003698007396014792, 0.125, 0.7750806791076189, 1.0, 0.0, 1.0, 0.0]",54,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 1850000.0, -0.1057628454003337, -1.0, 15455378.063076502, 5186551.90524477, 6631443.416368009)","[0.843089190055969, 0.012836659074241108, 0.05099810199620399, 0.125, 0.653945091436322, 1.0, 0.0, 1.0, 0.0]"
46,"[0.843089190055969, 0.012836659074241108, 0.05099810199620399, 0.125, 0.653945091436322, 1.0, 0.0, 1.0, 0.0]",75,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 25500000.0, -0.1057628454003337, -1.0, 15455378.063076502, 5186551.90524477, 6631443.416368009)","[0.08170540487397554, 0.09333086950239879, 0.005998011996023992, 0.125, 0.6707824704176606, 0.0, 1.0, 1.0, 0.0]"
47,"[0.08170540487397554, 0.09333086950239879, 0.005998011996023992, 0.125, 0.6707824704176606, 0.0, 1.0, 1.0, 0.0]",24,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 3000000.0, -0.1057628454003337, -1.0, 1475449.6632844994, 5186551.90524477, 6631443.416368009)","[0.843563035297311, 0.012835838242904126, 0.006885631871263742, 0.125, 0.6721855853327722, 1.0, 0.0, 1.0, 0.0]"
48,"[0.843563035297311, 0.012835838242904126, 0.006885631871263742, 0.125, 0.6721855853327722, 1.0, 0.0, 1.0, 0.0]",33,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 3443809.05, -0.1057628454003337, -1.0, 15464078.435576502, 5186551.90524477, 6631443.416368009)","[0.843563035297311, 0.04811524077655443, 0.014798029596059192, 0.25, 0.70960198306908, 1.0, 0.0, 0.0, 1.0]"
49,"[0.843563035297311, 0.04811524077655443, 0.014798029596059192, 0.25, 0.70960198306908, 1.0, 0.0, 0.0, 1.0]",38,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 7400000.0, -0.1057628454003337, 1.0, 15464078.435576502, 5186551.90524477, 6631443.416368009)","[0.8435629744353128, 0.07223648046059677, 0.04939900935801872, 0.125, 0.681539684766849, 1.0, 0.0, 1.0, 0.0]"
50,"[0.8435629744353128, 0.07223648046059677, 0.04939900935801872, 0.125, 0.681539684766849, 1.0, 0.0, 1.0, 0.0]",39,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 24700455.28, -0.1057628454003337, -1.0, 15464077.318076504, 5186551.90524477, 6631443.416368009)","[0.08134050519675005, 0.37454073740971516, 0.08999817999635999, 0.125, 0.6796688648800336, 0.0, 1.0, 0.0, 1.0]"
51,"[0.08134050519675005, 0.37454073740971516, 0.08999817999635999, 0.125, 0.6796688648800336, 0.0, 1.0, 0.0, 1.0]",102,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 45000000.0, -0.1057628454003337, 1.0, 1468749.6632844994, 5186551.90524477, 6631443.416368009)","[0.08102087004461239, 0.17991435738525888, 0.02949805899611799, 0.25, 0.6548805013797298, 0.0, 1.0, 0.0, 1.0]"
52,"[0.08102087004461239, 0.17991435738525888, 0.02949805899611799, 0.25, 0.6548805013797298, 0.0, 1.0, 0.0, 1.0]",31,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 14750000.0, -0.1057628454003337, 1.0, 1462880.7747844993, 5186551.90524477, 6631443.416368009)","[0.08102087004461239, 0.09244142132100797, 0.000808001616003232, 0.25, 0.6553482063514335, 0.0, 1.0, 0.0, 1.0]"
53,"[0.08102087004461239, 0.09244142132100797, 0.000808001616003232, 0.25, 0.6553482063514335, 0.0, 1.0, 0.0, 1.0]",98,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 405000.0, -0.1057628454003337, 1.0, 1462880.7747844993, 5186551.90524477, 6631443.416368009)","[0.08102087004461239, 0.09244142132100797, 0.001012002024004048, 0.25, 0.6445909920022449, 0.0, 1.0, 0.0, 1.0]"
54,"[0.08102087004461239, 0.09244142132100797, 0.001012002024004048, 0.25, 0.6445909920022449, 0.0, 1.0, 0.0, 1.0]",101,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 507000.0, -0.1057628454003337, 1.0, 1462880.7747844993, 5186551.90524477, 6631443.416368009)","[0.08102087004461239, 0.09244142132100797, 3.8000076000152e-05, 0.25, 0.6417847621720218, 0.0, 1.0, 0.0, 1.0]"
55,"[0.08102087004461239, 0.09244142132100797, 3.8000076000152e-05, 0.25, 0.6417847621720218, 0.0, 1.0, 0.0, 1.0]",104,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 20000.0, -0.1057628454003337, 1.0, 1462880.7747844993, 5186551.90524477, 6631443.416368009)","[0.829951227005213, 0.07154640091944271, 0.049998099996199995, 0.25, 0.6502034516626911, 1.0, 0.0, 1.0, 0.0]"
56,"[0.829951227005213, 0.07154640091944271, 0.049998099996199995, 0.25, 0.6502034516626911, 1.0, 0.0, 1.0, 0.0]",113,0.25715076500769896,"(674622.160635952, 2194227.8587135216, 25000000.0, -0.1057628454003337, -1.0, 15214149.150216503, 5186551.90524477, 6631443.416368009)","[0.08122321715188681, 0.26124343223798585, 0.053998107996215995, 0.125, 0.6249473831906833, 0.0, 1.0, 1.0, 0.0]"
57,"[0.08122321715188681, 0.26124343223798585, 0.053998107996215995, 0.125, 0.6249473831906833, 0.0, 1.0, 1.0, 0.0]",99,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 27000000.0, -0.1057628454003337, -1.0, 1466596.1127344994, 5186551.90524477, 6631443.416368009)","[0.08122321715188681, 0.39453051726845617, 0.07999815999632, 0.25, 0.7633880548150226, 0.0, 1.0, 0.0, 1.0]"
58,"[0.08122321715188681, 0.39453051726845617, 0.07999815999632, 0.25, 0.7633880548150226, 0.0, 1.0, 0.0, 1.0]",56,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 40000000.0, -0.1057628454003337, 1.0, 1466596.1127344994, 5186551.90524477, 6631443.416368009)","[0.08394634907147991, 0.17991435738525888, 0.013674027348054696, 0.125, 0.6244796782189795, 0.0, 1.0, 1.0, 0.0]"
59,"[0.08394634907147991, 0.17991435738525888, 0.013674027348054696, 0.125, 0.6244796782189795, 0.0, 1.0, 1.0, 0.0]",114,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 6838000.0, -0.1057628454003337, -1.0, 1516596.1127344994, 5186551.90524477, 6631443.416368009)","[0.8543190095997766, 0.059837138892258245, 0.001998003996007992, 0.625, 0.7390673962864225, 1.0, 0.0, 0.0, 1.0]"
60,"[0.8543190095997766, 0.059837138892258245, 0.001998003996007992, 0.625, 0.7390673962864225, 1.0, 0.0, 0.0, 1.0]",8,0.11660758815961424,"(674622.160635952, 2194227.8587135216, 1000000.0, -0.1057628454003337, 1.0, 15661571.150216503, 5186551.90524477, 6631443.416368009)","[0.08424596193324634, 0.09244142132100797, 0.17999835999671998, 0.25, 0.6263504981057949, 0.0, 1.0, 1.0, 0.0]"
61,"[0.08424596193324634, 0.09244142132100797, 0.17999835999671998, 0.25, 0.6263504981057949, 0.0, 1.0, 1.0, 0.0]",55,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 90000000.0, -0.1057628454003337, -1.0, 1522097.3677344995, 5186551.90524477, 6631443.416368009)","[0.08424596193324634, 0.13702591302431022, 0.003998007996015992, 0.5, 0.6127870539263833, 0.0, 1.0, 0.0, 1.0]"
62,"[0.08424596193324634, 0.13702591302431022, 0.003998007996015992, 0.5, 0.6127870539263833, 0.0, 1.0, 0.0, 1.0]",29,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 2000000.0, -0.1057628454003337, 1.0, 1522097.3677344995, 5186551.90524477, 6631443.416368009)","[0.0777104656135557, 0.20215475837186264, 0.000518001036002072, 0.25, 0.6240119732472758, 0.0, 1.0, 0.0, 1.0]"
63,"[0.0777104656135557, 0.20215475837186264, 0.000518001036002072, 0.25, 0.6240119732472758, 0.0, 1.0, 0.0, 1.0]",76,0.3721125766259296,"(674622.160635952, 2194227.8587135216, 260000.0, -0.1057628454003337, 1.0, 1402097.7402344996, 5186551.90524477, 6631443.416368009)","[0.06619710443218167, 0.1373817381178557, 0.09999819999639999, 0.125, 0.6113839390112719, 0.0, 1.0, 1.0, 0.0]"
