,State,State_index,Action,Reward,Next_State
3955,"[3, 1, 0, 1, 1, 1]",839,26,0.27006168690131926,486
3956,"[1, 3, 2, 1, 1, 0]",486,31,0.4644065655172082,915
3957,"[3, 2, 1, 0, 1, 1]",915,30,0.25715076500769896,262
3958,"[1, 0, 0, 1, 1, 0]",262,3,0.7531731040823297,931
3959,"[3, 2, 2, 0, 1, 1]",931,15,0.25715076500769896,314
3960,"[1, 0, 3, 2, 1, 0]",314,36,0.36224884221794124,354
3961,"[1, 1, 2, 0, 1, 0]",354,27,0.22282668778111256,506
3962,"[1, 3, 3, 2, 1, 0]",506,0,0.187389731658117,779
3963,"[3, 0, 0, 2, 1, 1]",779,26,0.16195478268365768,312
3964,"[1, 0, 3, 2, 0, 0]",312,63,1.0,492
3965,"[1, 3, 2, 3, 0, 0]",492,34,1.0,787
3966,"[3, 0, 1, 0, 1, 1]",787,15,0.25715076500769896,787
3967,"[3, 0, 1, 0, 1, 1]",787,30,0.2709283306706884,787
3968,"[3, 0, 1, 0, 1, 1]",787,18,0.7035691251079783,290
3969,"[1, 0, 2, 0, 1, 0]",290,8,0.7526219747658675,787
3970,"[3, 0, 1, 0, 1, 1]",787,36,0.3222878687121627,775
3971,"[3, 0, 0, 1, 1, 1]",775,15,0.3087944525821616,290
3972,"[1, 0, 2, 0, 1, 0]",290,15,0.40551626861611284,306
3973,"[1, 0, 3, 0, 1, 0]",306,15,0.28168460516603405,787
3974,"[3, 0, 1, 0, 1, 1]",787,15,0.3206357715169519,791
3975,"[3, 0, 1, 1, 1, 1]",791,26,0.6437647512128112,294
3976,"[1, 0, 2, 1, 1, 0]",294,0,0.3759301414248128,781
3977,"[3, 0, 0, 3, 0, 1]",781,51,0.33077506584716004,841
3978,"[3, 1, 0, 2, 0, 1]",841,15,0.25715076500769896,783
3979,"[3, 0, 0, 3, 1, 1]",783,15,0.0726259383423887,863
3980,"[3, 1, 1, 3, 1, 1]",863,1,0.3092784934847955,294
3981,"[1, 0, 2, 1, 1, 0]",294,17,0.5626790116970326,314
3982,"[1, 0, 3, 2, 1, 0]",314,6,0.4063068559069823,899
3983,"[3, 2, 0, 0, 1, 1]",899,26,0.25715076500769896,783
3984,"[3, 0, 0, 3, 1, 1]",783,18,0.36115540044127803,314
3985,"[1, 0, 3, 2, 1, 0]",314,18,0.05276335304995637,785
3986,"[3, 0, 1, 0, 0, 1]",785,15,0.16913264318690363,510
3987,"[1, 3, 3, 3, 1, 0]",510,60,0.6558479229105569,314
3988,"[1, 0, 3, 2, 1, 0]",314,37,0.2761055617214118,290
3989,"[1, 0, 2, 0, 1, 0]",290,16,0.3140536910375678,442
3990,"[1, 2, 3, 2, 1, 0]",442,36,0.5587166794594376,917
3991,"[3, 2, 1, 1, 0, 1]",917,41,0.25715076500769896,971
3992,"[3, 3, 0, 2, 1, 1]",971,78,0.25715076500769896,498
3993,"[1, 3, 3, 0, 1, 0]",498,15,0.2263109101218826,773
3994,"[3, 0, 0, 1, 0, 1]",773,15,0.12018259819053147,901
3995,"[3, 2, 0, 1, 0, 1]",901,15,0.10837558905958075,789
3996,"[3, 0, 1, 1, 0, 1]",789,25,0.2577161082971394,793
3997,"[3, 0, 1, 2, 0, 1]",793,37,0.261442427006565,911
3998,"[3, 2, 0, 3, 1, 1]",911,18,0.25658302388415233,993
3999,"[3, 3, 2, 0, 0, 1]",993,15,0.25715076500769896,863
4000,"[3, 1, 1, 3, 1, 1]",863,12,0.25715076500769896,919
4001,"[3, 2, 1, 1, 1, 1]",919,14,0.25715076500769896,502
4002,"[1, 3, 3, 1, 1, 0]",502,37,1.0,983
4003,"[3, 3, 1, 1, 1, 1]",983,29,0.13588815034348825,851
4004,"[3, 1, 1, 0, 1, 1]",851,25,0.5095573162137531,833
4005,"[3, 1, 0, 0, 0, 1]",833,16,0.2725074233017167,310
4006,"[1, 0, 3, 1, 1, 0]",310,17,0.2176701515367116,502
4007,"[1, 3, 3, 1, 1, 0]",502,90,0.0,919
4008,"[3, 2, 1, 1, 1, 1]",919,37,0.25715076500769896,486
4009,"[1, 3, 2, 1, 1, 0]",486,33,0.6749732212862959,482
4010,"[1, 3, 2, 0, 1, 0]",482,18,0.1486603274270643,979
4011,"[3, 3, 1, 0, 1, 1]",979,119,0.127819654212193,306
4012,"[1, 0, 3, 0, 1, 0]",306,0,0.8795510535058041,306
4013,"[1, 0, 3, 0, 1, 0]",306,15,0.42326564889205964,306
4014,"[1, 0, 3, 0, 1, 0]",306,35,0.1077755064859891,903
4015,"[3, 2, 0, 1, 1, 1]",903,25,0.21460331905838223,923
4016,"[3, 2, 1, 2, 1, 1]",923,57,0.25715076500769896,775
4017,"[3, 0, 0, 1, 1, 1]",775,37,0.21814798754435702,899
4018,"[3, 2, 0, 0, 1, 1]",899,30,0.2513156995514852,498
4019,"[1, 3, 3, 0, 1, 0]",498,44,0.5952347699792028,991
4020,"[3, 3, 1, 3, 1, 1]",991,44,0.24740675610866056,863
4021,"[3, 1, 1, 3, 1, 1]",863,15,0.325340630932939,510
4022,"[1, 3, 3, 3, 1, 0]",510,50,0.38683469365012596,494
4023,"[1, 3, 2, 3, 1, 0]",494,17,0.4179776924816043,422
4024,"[1, 2, 2, 1, 1, 0]",422,47,0.8524184470797747,979
4025,"[3, 3, 1, 0, 1, 1]",979,131,0.12725714995021464,901
4026,"[3, 2, 0, 1, 0, 1]",901,16,0.15119884861445482,985
4027,"[3, 3, 1, 2, 0, 1]",985,57,0.25715076500769896,897
4028,"[3, 2, 0, 0, 0, 1]",897,25,0.25715076500769896,917
4029,"[3, 2, 1, 1, 0, 1]",917,15,0.12489963653723991,843
4030,"[3, 1, 0, 2, 1, 1]",843,33,0.24289884750102428,987
4031,"[3, 3, 1, 2, 1, 1]",987,21,0.31308099022901825,416
4032,"[1, 2, 2, 0, 0, 0]",416,15,0.387669020305165,815
4033,"[3, 0, 2, 3, 1, 1]",815,1,0.25715076500769896,510
4034,"[1, 3, 3, 3, 1, 0]",510,57,0.9019647471725661,486
4035,"[1, 3, 2, 1, 1, 0]",486,24,0.38517808234641154,847
4036,"[3, 1, 0, 3, 1, 1]",847,1,0.1262071913232065,494
4037,"[1, 3, 2, 3, 1, 0]",494,24,0.4023572473110656,915
4038,"[3, 2, 1, 0, 1, 1]",915,21,0.26087944668911145,919
4039,"[3, 2, 1, 1, 1, 1]",919,25,0.30431427630344354,510
4040,"[1, 3, 3, 3, 1, 0]",510,13,0.5676326038165075,374
4041,"[1, 1, 3, 1, 1, 0]",374,26,0.37612769945071217,438
4042,"[1, 2, 3, 1, 1, 0]",438,37,0.27970787012730547,382
4043,"[1, 1, 3, 3, 1, 0]",382,17,0.3831225139011558,979
4044,"[3, 3, 1, 0, 1, 1]",979,21,0.1250135476038154,925
4045,"[3, 2, 1, 3, 0, 1]",925,14,0.25715076500769896,502
4046,"[1, 3, 3, 1, 1, 0]",502,45,0.41512286234415774,983
4047,"[3, 3, 1, 1, 1, 1]",983,16,0.3432295778789156,494
4048,"[1, 3, 2, 3, 1, 0]",494,21,0.411852485668662,901
4049,"[3, 2, 0, 1, 0, 1]",901,15,0.10061052687561647,482
4050,"[1, 3, 2, 0, 1, 0]",482,15,0.3884760685847174,378
4051,"[1, 1, 3, 2, 1, 0]",378,9,0.3653717987023224,983
4052,"[3, 3, 1, 1, 1, 1]",983,26,0.3037930653151395,859
4053,"[3, 1, 1, 2, 1, 1]",859,14,0.25715076500769896,979
4054,"[3, 3, 1, 0, 1, 1]",979,21,0.25715076500769896,991
4055,"[3, 3, 1, 3, 1, 1]",991,24,0.25715076500769896,991
4056,"[3, 3, 1, 3, 1, 1]",991,15,0.25715076500769896,919
4057,"[3, 2, 1, 1, 1, 1]",919,21,0.25715076500769896,923
