,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,meanDealerSharpeRatio,meanDealerSharpeRatioNoNeg,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,15.84,19.588530098324863,1.75,1.8497209802680867,1.4,39.0,72.4,0.9788337181188072,2.44,2.39,1.8975726227996141,0.12,0.08,0.08,-91551625.08999991,-776623275.44
1,24.36,34.06,22.536084286898532,1.71,1.9084411199321156,1.4,45.2,72.4,0.9876094156435623,2.44,1.82,1.8793871050840283,0.18,0.08,0.08,-91551625.08999991,491203699.78000003
2,24.36,15.84,19.588530098324863,1.75,1.8497209802680867,1.4,39.0,72.4,0.9788337181188072,2.44,2.39,1.8975726227996141,0.12,0.08,0.08,-91551625.08999991,-776623275.44
3,24.36,34.06,22.536084286898532,1.71,1.9084411199321156,1.4,45.2,72.4,0.9876094156435623,2.44,1.82,1.8793871050840283,0.18,0.08,0.08,-91551625.08999991,491203699.78000003
4,24.36,15.84,19.588530098324863,1.75,1.8497209802680867,1.4,39.0,72.4,0.9788337181188072,2.44,2.39,1.8975726227996141,0.12,0.08,0.08,-91551625.08999991,-776623275.44
5,24.36,34.06,22.536084286898532,1.71,1.9084411199321156,1.4,45.2,72.4,0.9876094156435623,2.44,1.82,1.8793871050840283,0.18,0.08,0.08,-91551625.08999991,491203699.78000003
6,24.36,15.84,19.588530098324863,1.75,1.8497209802680867,1.4,39.0,72.4,0.9788337181188072,2.44,2.39,1.8975726227996141,0.12,0.08,0.08,-91551625.08999991,-776623275.44
7,24.36,34.06,22.536084286898532,1.71,1.9084411199321156,1.4,45.2,72.4,0.9876094156435623,2.44,1.82,1.8793871050840283,0.18,0.08,0.08,-91551625.08999991,491203699.78000003
8,24.36,15.84,19.588530098324863,1.75,1.8497209802680867,1.4,39.0,72.4,0.9788337181188072,2.44,2.39,1.8975726227996141,0.12,0.08,0.08,-91551625.08999991,-776623275.44
9,24.36,34.06,22.536084286898532,1.71,1.9084411199321156,1.4,45.2,72.4,0.9876094156435623,2.44,1.82,1.8793871050840283,0.18,0.08,0.08,-91551625.08999991,491203699.78000003
10,24.36,15.84,19.588530098324863,1.75,1.8497209802680867,1.4,39.0,72.4,0.9788337181188072,2.44,2.39,1.8975726227996141,0.12,0.08,0.08,-91551625.08999991,-776623275.44
11,24.36,34.06,22.536084286898532,1.71,1.9084411199321156,1.4,45.2,72.4,0.9876094156435623,2.44,1.82,1.8793871050840283,0.18,0.08,0.08,-91551625.08999991,491203699.78000003
12,24.36,15.84,19.588530098324863,1.75,1.8497209802680867,1.4,39.0,72.4,0.9788337181188072,2.44,2.39,1.8975726227996141,0.12,0.08,0.08,-91551625.08999991,-776623275.44
13,24.36,34.06,22.536084286898532,1.71,1.9084411199321156,1.4,45.2,72.4,0.9876094156435623,2.44,1.82,1.8793871050840283,0.18,0.08,0.08,-91551625.08999991,491203699.78000003
14,24.36,15.84,19.588530098324863,1.75,1.8497209802680867,1.4,39.0,72.4,0.9788337181188072,2.44,2.39,1.8975726227996141,0.12,0.08,0.08,-91551625.08999991,-776623275.44
15,24.36,34.06,22.536084286898532,1.71,1.9084411199321156,1.4,45.2,72.4,0.9876094156435623,2.44,1.82,1.8793871050840283,0.18,0.08,0.08,-91551625.08999991,491203699.78000003
16,24.36,15.84,19.588530098324863,1.75,1.8497209802680867,1.4,39.0,72.4,0.9788337181188072,2.44,2.39,1.8975726227996141,0.12,0.08,0.08,-91551625.08999991,-776623275.44
17,24.36,34.06,22.536084286898532,1.71,1.9084411199321156,1.4,45.2,72.4,0.9876094156435623,2.44,1.82,1.8793871050840283,0.18,0.08,0.08,-91551625.08999991,491203699.78000003
18,24.36,15.84,19.588530098324863,1.75,1.8497209802680867,1.4,39.0,72.4,0.9788337181188072,2.44,2.39,1.8975726227996141,0.12,0.08,0.08,-91551625.08999991,-776623275.44
19,24.36,34.06,22.536084286898532,1.71,1.9084411199321156,1.4,45.2,72.4,0.9876094156435623,2.44,1.82,1.8793871050840283,0.18,0.08,0.08,-91551625.08999991,491203699.78000003
