,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,MLSharpeRatioHitrate,meanDealerSharpeRatio,DealerSharpeRatioHitrate,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,34.06,39.30030601328893,1.54,1.7858372337950128,1.4,53.3,72.4,0.981618316633662,2.44,2.36,2.82509756981122,0.19,351.17,0.08,167.66,-91551625.08999991,-364563292.1600003
1,24.36,21.39,32.28304688967557,1.47,1.8371506405986295,1.4,53.9,72.4,0.9759764012871271,2.44,2.72,2.5504272902720877,0.14,297.59,0.08,167.66,-91551625.08999991,-1242533358.92
2,24.36,22.77,29.78268314786024,1.44,1.8157754414262377,1.4,49.6,72.4,0.9770578217821769,2.44,2.62,2.4236404866167702,0.16,345.85,0.08,167.66,-91551625.08999991,-639138999.87
3,24.36,18.42,28.284753783741873,1.49,1.943013555644842,1.4,58.8,72.4,0.9784040743564335,2.44,2.43,2.259003508527621,0.12,275.76,0.08,167.66,-91551625.08999991,-1121077011.8600001
4,24.36,23.37,24.306914784602213,1.66,1.9797123979902207,1.4,42.3,72.4,0.9786044210891064,2.44,2.53,2.7440467188116062,0.16,361.82,0.08,167.66,-91551625.08999991,-576741708.74
5,24.36,31.68,33.523823534783084,1.54,1.849131289693491,1.4,53.0,72.4,0.9768489357425729,2.44,2.8,3.33466484697625,0.19,348.29,0.08,167.66,-91551625.08999991,-142061703.37999988
6,24.36,26.73,37.52909457811553,1.52,1.8695596358618782,1.4,56.1,72.4,0.9743381238613852,2.44,2.97,3.2173484110391537,0.19,388.98,0.08,167.66,-91551625.08999991,-583595401.11
7,24.36,27.52,35.341562025755984,1.55,1.8229234419933755,1.4,54.4,72.4,0.9763232725742559,2.44,2.79,3.192040612583967,0.19,385.11,0.08,167.66,-91551625.08999991,-659703962.22
8,24.36,31.88,45.20131376680689,1.59,1.8317065187846304,1.4,47.3,72.4,0.9807864802970285,2.44,2.43,2.4259177695182044,0.17,314.08,0.08,167.66,-91551625.08999991,-917888347.9500003
9,24.36,23.37,36.44371234799692,1.68,1.8726928682858857,1.4,50.4,72.4,0.9808536288118784,2.44,2.31,2.0145080959374653,0.18,407.13,0.08,167.66,-91551625.08999991,-496836406.73
10,24.36,24.95,37.125234670882385,1.53,1.842721691510554,1.4,44.5,72.4,0.9786283911881162,2.44,2.52,2.2897497228756207,0.17,379.77,0.08,167.66,-91551625.08999991,-1091524417.6
11,24.36,27.13,35.01807891946498,1.35,1.752610581440929,1.4,59.7,72.4,0.9822628567326718,2.44,2.14,2.0036763060675447,0.13,252.52,0.08,167.66,-91551625.08999991,-922972113.61
12,24.36,34.26,40.354293141289915,1.51,1.8130001294385936,1.4,57.7,72.4,0.9804790446534647,2.44,2.47,3.0136964562176938,0.18,314.8,0.08,167.66,-91551625.08999991,-511957721.09000003
13,24.36,22.18,33.06048539426885,1.45,1.8492901371607968,1.4,64.1,72.4,0.9810572230693048,2.44,2.21,1.9597129878545054,0.13,277.34,0.08,167.66,-91551625.08999991,-854669542.5900003
14,24.36,22.18,33.06048539426885,1.45,1.8492901371607968,1.4,64.1,72.4,0.9810572230693048,2.44,2.21,1.9597129878545054,0.13,277.34,0.08,167.66,-91551625.08999991,-854669542.5900003
15,24.36,25.54,35.61205992660319,1.37,1.7616703890632093,1.4,50.1,72.4,0.977677549603959,2.44,2.58,2.487025520786073,0.18,381.38,0.08,167.66,-91551625.08999991,-770060757.3
16,24.36,18.42,28.284753783741873,1.49,1.943013555644842,1.4,58.8,72.4,0.9784040743564335,2.44,2.43,2.259003508527621,0.12,275.76,0.08,167.66,-91551625.08999991,-1121077011.8600001
17,24.36,28.32,41.37357691244601,1.42,1.6306866751824751,1.4,47.2,72.4,0.9754947478217805,2.44,2.85,3.1727574465882897,0.17,319.93,0.08,167.66,-91551625.08999991,-1052727476.2600001
18,24.36,31.49,32.828681392319645,1.48,1.799362713813827,1.4,50.9,72.4,0.9836746631683155,2.44,2.1,2.0460393625228344,0.19,332.43,0.08,167.66,-91551625.08999991,-494583298.75
19,24.36,21.39,26.996613556657113,1.71,1.9945481498151145,1.4,46.6,72.4,0.9764213418811857,2.44,2.72,2.966186620973902,0.17,382.79,0.08,167.66,-91551625.08999991,-344924845.8599999
