,dealerHitRate,mlHitRate,MLWinShare,mlDistToCoverMean,mlDistToCoverStd,dealerDistToCoverMean,meanMLProfit,meanDealerProfit,meanRLReward,dealerD2TargetMean,MLD2TargetMean,MLD2TargetStd,meanMLSharpeRatio,MLSharpeRatioHitrate,meanDealerSharpeRatio,DealerSharpeRatioHitrate,DealerNetInventoryDiff,MLNetInventoryDiff
0,24.36,19.21,11.295959163326902,1.67,1.8540164453121635,1.4,29.7,72.4,0.9737987524752433,2.44,2.94,3.084348520793748,0.13,305.44,0.08,167.66,-91551625.08999991,-80603122.32000005
1,24.36,32.87,30.9266383188231,1.55,1.7913665701250132,1.4,49.7,72.4,0.9828684552475234,2.44,2.22,2.165560172305659,0.22,406.35,0.08,167.66,-91551625.08999991,142575135.31000006
2,24.36,32.08,32.720189508371575,1.49,1.69577789448647,1.4,44.8,72.4,0.9818304849504942,2.44,2.29,2.322043272313051,0.16,295.18,0.08,167.66,-91551625.08999991,168019531.6300001
3,24.36,19.8,12.229770121385275,1.82,1.7679078821023697,1.4,23.1,72.4,0.971604702772275,2.44,3.2,2.539255777216494,0.1,234.88,0.08,167.66,-91551625.08999991,32412792.75
4,24.36,25.54,15.50517587478127,1.54,1.738355389754989,1.4,36.7,72.4,0.9795872176237606,2.44,2.43,2.2817165406091124,0.15,292.05,0.08,167.66,-91551625.08999991,48676621.93000001
5,24.36,22.97,31.641656561213278,1.36,1.7359209500472272,1.4,45.1,72.4,0.9758992624752463,2.44,2.72,2.4310828818229133,0.17,369.44,0.08,167.66,-91551625.08999991,-969832324.1
6,24.36,19.41,13.051141538046366,1.76,1.8375930534000755,1.4,33.1,72.4,0.9785185841584133,2.44,2.49,2.179672905497395,0.14,323.51,0.08,167.66,-91551625.08999991,172913036.41999996
7,24.36,29.31,38.5113074205503,1.59,1.9255188151855709,1.4,49.7,72.4,0.9790668116831664,2.44,2.56,2.8042384585094924,0.18,355.58,0.08,167.66,-91551625.08999991,-353030472.6099999
8,24.36,27.72,34.247996213436934,1.51,1.8677910975895302,1.4,54.6,72.4,0.9788741735643544,2.44,2.53,2.918601281774694,0.18,362.26,0.08,167.66,-91551625.08999991,-802862475.29
9,24.36,39.01,36.16961357116344,1.84,1.8404567007750832,1.4,43.5,72.4,0.9856581978217794,2.44,2.15,2.122645800817084,0.18,291.29,0.08,167.66,-91551625.08999991,109123923.87999988
10,24.36,33.66,36.600113092232576,1.64,1.777794581374426,1.4,41.0,72.4,0.9750089403960397,2.44,3.05,3.1941236043096892,0.15,272.81,0.08,167.66,-91551625.08999991,-444166799.57000005
11,24.36,22.18,25.219099717113103,1.62,1.9021489897631514,1.4,51.2,72.4,0.9801959159405915,2.44,2.34,2.0964387502715303,0.15,320.25,0.08,167.66,-91551625.08999991,-742580587.79
12,24.36,21.98,30.36094658509191,1.55,1.8690724314692442,1.4,51.9,72.4,0.9787492921782162,2.44,2.46,2.0611182142622293,0.17,395.4,0.08,167.66,-91551625.08999991,-884963218.09
13,24.36,24.55,29.017682454637978,1.51,1.757786861990248,1.4,45.8,72.4,0.9787367918811868,2.44,2.5,2.505858589783734,0.16,341.24,0.08,167.66,-91551625.08999991,-644961425.8100001
14,24.36,16.63,23.887081299899684,1.54,1.9525035293620467,1.4,48.5,72.4,0.9740506290098996,2.44,2.85,2.3927310251693292,0.12,300.29,0.08,167.66,-91551625.08999991,-1012997601.6700001
15,24.36,32.08,32.30044477876966,1.63,1.8377362336339353,1.4,44.3,72.4,0.9826817225742567,2.44,2.25,2.262824929000921,0.21,397.3,0.08,167.66,-91551625.08999991,-398832090.5200002
16,24.36,20.0,28.28175757612641,1.61,1.9377323138518228,1.4,47.4,72.4,0.9733661040594042,2.44,2.98,3.053510360498406,0.13,286.48,0.08,167.66,-91551625.08999991,-603979965.2299999
17,24.36,21.19,31.775022556467512,1.54,1.9516567534600613,1.4,60.1,72.4,0.9808490743564336,2.44,2.24,1.9716327313540405,0.13,301.5,0.08,167.66,-91551625.08999991,-1126588078.92
18,24.36,22.57,27.074355523399756,1.61,1.86257810658768,1.4,40.5,72.4,0.9811332968316798,2.44,2.25,2.003137979933189,0.15,323.34,0.08,167.66,-91551625.08999991,-1038445804.1800001
19,24.36,21.19,12.828584275402868,1.49,1.8326673974976122,1.4,38.4,72.4,0.9790762176237604,2.44,2.41,2.218682320268291,0.15,352.77,0.08,167.66,-91551625.08999991,119209408.14999998
