,State,State_index,Action,Reward,Next_State
83,"[1, 1, 3, 0, 0, 2, 1, 0]",11786,58,0.0,6226
84,"[0, 3, 0, 0, 2, 4, 1, 0]",6226,79,0.04999999999999716,21050
85,"[2, 2, 1, 0, 1, 6, 1, 0]",21050,46,0.016999999999995907,23123
86,"[2, 3, 1, 0, 2, 4, 1, 1]",23123,49,0.01999999999999602,14908
87,"[1, 3, 1, 0, 1, 7, 0, 0]",14908,49,0.0,8763
88,"[1, 0, 1, 0, 1, 6, 1, 1]",8763,155,0.125,13354
89,"[1, 2, 2, 0, 1, 2, 1, 0]",13354,52,0.02200000000000557,13360
90,"[1, 2, 2, 0, 1, 4, 0, 0]",13360,74,0.0,5130
92,"[0, 2, 2, 0, 0, 2, 1, 0]",5130,52,0.02200000000000557,3600
93,"[0, 1, 3, 0, 0, 4, 0, 0]",3600,69,0.0,2125
94,"[0, 1, 0, 0, 2, 3, 0, 1]",2125,42,0.0,15882
95,"[1, 3, 3, 0, 0, 2, 1, 0]",15882,42,0.0,23626
97,"[2, 3, 2, 0, 2, 2, 1, 0]",23626,42,0.012999999999991019,27658
98,"[3, 1, 2, 0, 0, 2, 1, 0]",27658,36,0.0,9730
99,"[1, 0, 3, 0, 0, 0, 1, 0]",9730,29,-0.000999999999990564,4191
100,"[0, 2, 0, 0, 2, 7, 1, 1]",4191,72,0.0,13838
101,"[1, 2, 3, 0, 0, 3, 1, 0]",13838,127,0.0,3594
102,"[0, 1, 3, 0, 0, 2, 1, 0]",3594,129,0.0,9856
103,"[1, 0, 3, 1, 0, 0, 0, 0]",9856,42,0.012000000000000455,23120
104,"[2, 3, 1, 0, 2, 4, 0, 0]",23120,55,0.0,12009
105,"[1, 1, 3, 1, 3, 2, 0, 1]",12009,25,-0.0049999999999954525,19984
106,"[2, 1, 3, 0, 0, 4, 0, 0]",19984,54,0.0,1265
108,"[0, 0, 2, 1, 3, 4, 0, 1]",1265,66,0.0,5148
109,"[0, 2, 2, 0, 0, 7, 0, 0]",5148,161,0.0,22588
110,"[2, 3, 0, 0, 1, 7, 0, 0]",22588,106,0.0,13387
111,"[1, 2, 2, 0, 2, 2, 1, 1]",13387,44,0.0,7702
113,"[0, 3, 3, 0, 0, 5, 1, 0]",7702,100,0.0,6231
114,"[0, 3, 0, 0, 2, 5, 1, 1]",6231,71,0.0,93
115,"[0, 0, 0, 0, 2, 7, 0, 1]",93,35,0.0,13354
116,"[1, 2, 2, 0, 1, 2, 1, 0]",13354,45,0.0,3594
117,"[0, 1, 3, 0, 0, 2, 1, 0]",3594,57,0.0,18058
118,"[2, 0, 3, 1, 0, 2, 1, 0]",18058,67,0.0,7198
120,"[0, 3, 2, 0, 0, 7, 1, 0]",7198,64,0.0,18505
121,"[2, 1, 0, 0, 2, 2, 0, 1]",18505,43,0.0,1664
122,"[0, 0, 3, 1, 0, 0, 0, 0]",1664,91,0.0,6728
123,"[0, 3, 1, 0, 2, 2, 0, 0]",6728,39,0.0,7680
124,"[0, 3, 3, 0, 0, 0, 0, 0]",7680,173,0.0,13547
125,"[1, 2, 2, 1, 3, 2, 1, 1]",13547,75,0.0,6700
126,"[0, 3, 1, 0, 1, 3, 0, 0]",6700,133,0.0,26227
127,"[3, 0, 3, 0, 3, 4, 1, 1]",26227,63,0.0,3594
128,"[0, 1, 3, 0, 0, 2, 1, 0]",3594,64,0.03499999999999659,27259
129,"[3, 1, 1, 0, 3, 6, 1, 1]",27259,40,0.0,4183
130,"[0, 2, 0, 0, 2, 5, 1, 1]",4183,43,0.013999999999995794,10313
131,"[1, 1, 0, 0, 2, 2, 0, 1]",10313,39,0.0,14927
132,"[1, 3, 1, 0, 2, 3, 1, 1]",14927,62,0.0,2143
134,"[0, 1, 0, 0, 2, 7, 1, 1]",2143,73,0.0,82
135,"[0, 0, 0, 0, 2, 4, 1, 0]",82,66,0.036000000000001364,3185
136,"[0, 1, 2, 0, 3, 4, 0, 1]",3185,64,0.0,5367
137,"[0, 2, 2, 1, 3, 5, 1, 1]",5367,62,0.0,4144
138,"[0, 2, 0, 0, 1, 4, 0, 0]",4144,49,0.01999999999999602,10795
139,"[1, 1, 1, 0, 1, 2, 1, 1]",10795,73,0.0,8264
140,"[1, 0, 0, 0, 2, 2, 0, 0]",8264,47,0.01799999999998647,28753
141,"[3, 2, 0, 0, 2, 4, 0, 1]",28753,33,0.0,24657
142,"[3, 0, 0, 0, 2, 4, 0, 1]",24657,47,0.0,3612
143,"[0, 1, 3, 0, 0, 7, 0, 0]",3612,25,-0.0049999999999954525,13322
146,"[1, 2, 2, 0, 0, 2, 1, 0]",13322,34,0.0,26138
147,"[3, 0, 3, 0, 0, 6, 1, 0]",26138,90,0.0,2679
148,"[0, 1, 1, 0, 3, 5, 1, 1]",2679,44,0.014000000000010004,14382
149,"[1, 3, 0, 0, 1, 3, 1, 0]",14382,127,0.0,3197
150,"[0, 1, 2, 0, 3, 7, 0, 1]",3197,52,0.0,21031
151,"[2, 2, 1, 0, 1, 1, 1, 1]",21031,40,0.0,31302
152,"[3, 3, 1, 0, 2, 1, 1, 0]",31302,41,0.0,13328
154,"[1, 2, 2, 0, 0, 4, 0, 0]",13328,84,0.054000000000002046,15406
155,"[1, 3, 2, 0, 1, 3, 1, 0]",15406,94,0.0,1655
156,"[0, 0, 3, 0, 3, 5, 1, 1]",1655,28,-0.0010000000000047748,3594
157,"[0, 1, 3, 0, 0, 2, 1, 0]",3594,170,0.0,83
159,"[0, 0, 0, 0, 2, 4, 1, 1]",83,45,0.0,14409
160,"[1, 3, 0, 0, 2, 2, 0, 1]",14409,48,0.0,1143
161,"[0, 0, 2, 0, 3, 5, 1, 1]",1143,62,0.03200000000001069,137
162,"[0, 0, 0, 1, 0, 2, 0, 1]",137,82,0.052599999999998204,23120
163,"[2, 3, 1, 0, 2, 4, 0, 0]",23120,48,0.018000000000000682,7210
164,"[0, 3, 2, 0, 1, 2, 1, 0]",7210,48,0.018999999999991246,18151
165,"[2, 0, 3, 1, 3, 1, 1, 1]",18151,85,0.0,4649
166,"[0, 2, 1, 0, 1, 2, 0, 1]",4649,39,0.0,2679
167,"[0, 1, 1, 0, 3, 5, 1, 1]",2679,42,0.012000000000000455,3082
168,"[0, 1, 2, 0, 0, 2, 1, 0]",3082,54,0.0,6698
169,"[0, 3, 1, 0, 1, 2, 1, 0]",6698,39,0.009000000000000341,5373
170,"[0, 2, 2, 1, 3, 7, 0, 1]",5373,61,0.0,23554
171,"[2, 3, 2, 0, 0, 0, 1, 0]",23554,162,0.0,5363
172,"[0, 2, 2, 1, 3, 4, 1, 1]",5363,8,-0.021000000000000796,4651
173,"[0, 2, 1, 0, 1, 2, 1, 1]",4651,51,0.0,18478
174,"[2, 1, 0, 0, 1, 3, 1, 0]",18478,72,0.0,9856
175,"[1, 0, 3, 1, 0, 0, 0, 0]",9856,88,0.0589999999999975,13834
176,"[1, 2, 3, 0, 0, 2, 1, 0]",13834,57,0.0,25639
177,"[3, 0, 2, 0, 1, 1, 1, 1]",25639,53,0.0,2141
178,"[0, 1, 0, 0, 2, 7, 0, 1]",2141,37,0.0,23098
179,"[2, 3, 1, 0, 1, 6, 1, 0]",23098,51,0.021000000000000796,13342
180,"[1, 2, 2, 0, 0, 7, 1, 0]",13342,34,0.0,5247
181,"[0, 2, 2, 0, 3, 7, 1, 1]",5247,65,0.0350000000000108,5148
182,"[0, 2, 2, 0, 0, 7, 0, 0]",5148,63,0.0,15362
183,"[1, 3, 2, 0, 0, 0, 1, 0]",15362,40,0.010000000000005116,5136
184,"[0, 2, 2, 0, 0, 4, 0, 0]",5136,57,0.0,12023
185,"[1, 1, 3, 1, 3, 5, 1, 1]",12023,120,0.0,11345
186,"[1, 1, 2, 0, 2, 4, 0, 1]",11345,51,0.0,22074
187,"[2, 2, 3, 0, 1, 6, 1, 0]",22074,45,0.0,14888
188,"[1, 3, 1, 0, 1, 2, 0, 0]",14888,43,0.0,82
189,"[0, 0, 0, 0, 2, 4, 1, 0]",82,31,0.001999999999995339,13545
190,"[1, 2, 2, 1, 3, 2, 0, 1]",13545,69,0.0,29222
191,"[3, 2, 1, 0, 1, 1, 1, 0]",29222,52,0.0,17418
192,"[2, 0, 2, 0, 0, 2, 1, 0]",17418,63,0.0,28410
193,"[3, 1, 3, 1, 3, 6, 1, 0]",28410,108,0.0,20561
194,"[2, 2, 0, 0, 2, 4, 0, 1]",20561,11,0.0,14416
195,"[1, 3, 0, 0, 2, 4, 0, 0]",14416,36,0.0,32262
196,"[3, 3, 3, 0, 0, 1, 1, 0]",32262,38,0.0,13322
197,"[1, 2, 2, 0, 0, 2, 1, 0]",13322,13,-0.016000000000005343,14856
198,"[1, 3, 1, 0, 0, 2, 0, 0]",14856,48,0.0,14413
199,"[1, 3, 0, 0, 2, 3, 0, 1]",14413,40,0.0,9736
200,"[1, 0, 3, 0, 0, 2, 0, 0]",9736,61,0.0,7708
201,"[0, 3, 3, 0, 0, 7, 0, 0]",7708,55,0.0,6204
202,"[0, 3, 0, 0, 1, 7, 0, 0]",6204,49,0.0,29722
204,"[3, 2, 2, 0, 0, 6, 1, 0]",29722,63,0.0,11802
205,"[1, 1, 3, 0, 0, 6, 1, 0]",11802,81,0.0,23089
206,"[2, 3, 1, 0, 1, 4, 0, 1]",23089,40,0.0,22026
207,"[2, 2, 3, 0, 0, 2, 1, 0]",22026,46,0.016999999999995907,4183
208,"[0, 2, 0, 0, 2, 5, 1, 1]",4183,57,0.027000000000001023,28166
209,"[3, 1, 3, 0, 0, 1, 1, 0]",28166,51,0.02199999999999136,20567
210,"[2, 2, 0, 0, 2, 5, 1, 1]",20567,45,0.0,21518
211,"[2, 2, 2, 0, 0, 3, 1, 0]",21518,65,0.0,6732
212,"[0, 3, 1, 0, 2, 3, 0, 0]",6732,171,0.0,6717
213,"[0, 3, 1, 0, 1, 7, 0, 1]",6717,85,0.0,5180
215,"[0, 2, 2, 0, 1, 7, 0, 0]",5180,49,0.0,7312
217,"[0, 3, 2, 1, 0, 4, 0, 0]",7312,76,0.0,26695
218,"[3, 1, 0, 0, 2, 1, 1, 1]",26695,43,0.01300000000000523,27729
219,"[3, 1, 2, 0, 2, 4, 0, 1]",27729,29,0.0,15888
220,"[1, 3, 3, 0, 0, 4, 0, 0]",15888,40,0.010000000000005116,73
221,"[0, 0, 0, 0, 2, 2, 0, 1]",73,73,0.0,6187
222,"[0, 3, 0, 0, 1, 2, 1, 1]",6187,43,0.0,7708
223,"[0, 3, 3, 0, 0, 7, 0, 0]",7708,117,0.0,14415
224,"[1, 3, 0, 0, 2, 3, 1, 1]",14415,91,0.0,5885
225,"[0, 2, 3, 1, 3, 7, 0, 1]",5885,58,0.0,30789
226,"[3, 3, 0, 0, 2, 1, 0, 1]",30789,40,0.0,11849
227,"[1, 1, 3, 0, 2, 2, 0, 1]",11849,58,0.028999999999996362,9963
228,"[1, 0, 3, 1, 3, 2, 1, 1]",9963,9,0.0,25831
229,"[3, 0, 2, 1, 3, 1, 1, 1]",25831,55,0.0,15402
230,"[1, 3, 2, 0, 1, 2, 1, 0]",15402,36,0.006000000000000227,13545
231,"[1, 2, 2, 1, 3, 2, 0, 1]",13545,17,0.0,29939
232,"[3, 2, 2, 1, 3, 4, 1, 1]",29939,48,0.0,28763
233,"[3, 2, 0, 0, 2, 6, 1, 1]",28763,39,0.0,1552
234,"[0, 0, 3, 0, 0, 4, 0, 0]",1552,156,0.0,16475
235,"[2, 0, 0, 0, 2, 6, 1, 1]",16475,49,0.0,14422
236,"[1, 3, 0, 0, 2, 5, 1, 0]",14422,81,0.0,2622
237,"[0, 1, 1, 0, 1, 7, 1, 0]",2622,39,0.0,6698
238,"[0, 3, 1, 0, 1, 2, 1, 0]",6698,70,0.04099999999999682,1538
239,"[0, 0, 3, 0, 0, 0, 1, 0]",1538,114,0.08400000000000318,9864
240,"[1, 0, 3, 1, 0, 2, 0, 0]",9864,121,0.0,10795
241,"[1, 1, 1, 0, 1, 2, 1, 1]",10795,49,0.0,20083
242,"[2, 1, 3, 0, 3, 4, 1, 1]",20083,40,0.01099999999999568,24657
243,"[3, 0, 0, 0, 2, 4, 0, 1]",24657,37,0.007999999999995566,8285
244,"[1, 0, 0, 0, 2, 7, 0, 1]",8285,54,0.02400000000000091,3594
245,"[0, 1, 3, 0, 0, 2, 1, 0]",3594,5,0.0,6237
246,"[0, 3, 0, 0, 2, 7, 0, 1]",6237,52,0.0,1143
247,"[0, 0, 2, 0, 3, 5, 1, 1]",1143,49,0.0,30226
249,"[3, 2, 3, 0, 0, 4, 1, 0]",30226,39,0.0,8297
250,"[1, 0, 0, 0, 3, 2, 0, 1]",8297,40,0.01099999999999568,18983
251,"[2, 1, 1, 0, 1, 1, 1, 1]",18983,30,0.000999999999990564,17531
252,"[2, 0, 2, 0, 3, 6, 1, 1]",17531,57,0.0,13387
253,"[1, 2, 2, 0, 2, 2, 1, 1]",13387,45,0.0,17930
254,"[2, 0, 3, 0, 0, 2, 1, 0]",17930,61,0.0,27227
255,"[3, 1, 1, 0, 2, 6, 1, 1]",27227,51,0.0,4727
256,"[0, 2, 1, 0, 3, 5, 1, 1]",4727,79,0.0,24214
257,"[2, 3, 3, 1, 0, 5, 1, 0]",24214,54,0.0,4188
258,"[0, 2, 0, 0, 2, 7, 0, 0]",4188,36,0.006000000000000227,31782
259,"[3, 3, 2, 0, 1, 1, 1, 0]",31782,74,0.0,11794
260,"[1, 1, 3, 0, 0, 4, 1, 0]",11794,51,0.0,8271
261,"[1, 0, 0, 0, 2, 3, 1, 1]",8271,72,0.0,4701
262,"[0, 2, 1, 0, 2, 7, 0, 1]",4701,33,0.0,5373
264,"[0, 2, 2, 1, 3, 7, 0, 1]",5373,62,0.03200000000001069,7184
265,"[0, 3, 2, 0, 0, 4, 0, 0]",7184,175,0.0,20561
266,"[2, 2, 0, 0, 2, 4, 0, 1]",20561,96,0.0,10857
267,"[1, 1, 1, 0, 3, 2, 0, 1]",10857,33,0.0,13419
268,"[1, 2, 2, 0, 3, 2, 1, 1]",13419,60,0.0,2687
269,"[0, 1, 1, 0, 3, 7, 1, 1]",2687,30,0.0,8315
270,"[1, 0, 0, 0, 3, 6, 1, 1]",8315,37,0.0,6237
271,"[0, 3, 0, 0, 2, 7, 0, 1]",6237,40,0.0,11371
272,"[1, 1, 2, 0, 3, 2, 1, 1]",11371,40,0.0,29927
273,"[3, 2, 2, 1, 3, 1, 1, 1]",29927,46,0.0,2603
274,"[0, 1, 1, 0, 1, 2, 1, 1]",2603,113,0.0,16474
275,"[2, 0, 0, 0, 2, 6, 1, 0]",16474,72,0.0,2153
276,"[0, 1, 0, 0, 3, 2, 0, 1]",2153,38,0.008000000000009777,21512
277,"[2, 2, 2, 0, 0, 2, 0, 0]",21512,76,0.0,1536
278,"[0, 0, 3, 0, 0, 0, 0, 0]",1536,91,0.0,4171
279,"[0, 2, 0, 0, 2, 2, 1, 1]",4171,54,0.0,21739
280,"[2, 2, 2, 1, 3, 2, 1, 1]",21739,37,0.0,11371
281,"[1, 1, 2, 0, 3, 2, 1, 1]",11371,45,0.0,6736
282,"[0, 3, 1, 0, 2, 4, 0, 0]",6736,37,0.0,8829
283,"[1, 0, 1, 0, 3, 7, 0, 1]",8829,44,0.014000000000010004,21031
284,"[2, 2, 1, 0, 1, 1, 1, 1]",21031,45,0.015000000000000568,14888
285,"[1, 3, 1, 0, 1, 2, 0, 0]",14888,88,0.0,2673
286,"[0, 1, 1, 0, 3, 4, 0, 1]",2673,66,0.0,4624
288,"[0, 2, 1, 0, 0, 4, 0, 0]",4624,54,0.02400000000000091,16475
289,"[2, 0, 0, 0, 2, 6, 1, 1]",16475,85,0.0,27259
290,"[3, 1, 1, 0, 3, 6, 1, 1]",27259,64,0.0,3602
291,"[0, 1, 3, 0, 0, 4, 1, 0]",3602,64,0.0,7210
292,"[0, 3, 2, 0, 1, 2, 1, 0]",7210,81,0.0,4211
293,"[0, 2, 0, 0, 3, 4, 1, 1]",4211,64,0.0,28166
294,"[3, 1, 3, 0, 0, 1, 1, 0]",28166,42,0.0,2620
295,"[0, 1, 1, 0, 1, 7, 0, 0]",2620,49,0.019000000000005457,1617
296,"[0, 0, 3, 0, 2, 4, 0, 1]",1617,46,0.0,5215
