,State,State_index,Action,Reward,Reward_Terms,Next_State
850,"[2, 0, 1, 1, 0]",134,27,0.7238175699360989,"(758242.7977055736, 160000.0, 0.0, 0.353682552377252)","[2, 0, 1, 1, 1]"
851,"[2, 0, 1, 1, 1]",135,14,0.6522967593582578,"(758242.7977055736, 360000.0, -0.0, 0.9404422634031414)","[2, 1, 3, 1, 1]"
852,"[2, 1, 3, 1, 1]",159,44,0.6727406763479971,"(758242.7977055736, 3190000.0, 0.0, 0.939616040954985)","[2, 1, 3, 1, 1]"
853,"[2, 1, 3, 1, 1]",159,13,0.6628536619001993,"(758242.7977055736, 8000000.0, 0.0, 0.9375222960612782)","[2, 0, 2, 0, 1]"
854,"[2, 0, 2, 0, 1]",137,45,0.652649757716713,"(758242.7977055736, 5000000.0, 0.0, 0.9375222960612782)","[2, 1, 3, 0, 0]"
855,"[2, 1, 3, 0, 0]",156,15,0.7248634744898814,"(758242.7977055736, 1000000.0, -0.0, 0.3546848336543924)","[2, 0, 3, 1, 0]"
856,"[2, 0, 3, 1, 0]",142,65,0.7238510598323031,"(758242.7977055736, 1752885.6, 0.0, 0.3485522006039468)","[2, 0, 3, 1, 0]"
857,"[2, 0, 3, 1, 0]",142,55,0.7238510598323031,"(758242.7977055736, 2608938.65, 0.0, 0.3485522006039468)","[2, 0, 3, 1, 1]"
858,"[2, 0, 3, 1, 1]",143,48,0.6553824007806797,"(758242.7977055736, 843657.78, 0.0, 0.9149181441930652)","[2, 0, 3, 1, 1]"
859,"[2, 0, 3, 1, 1]",143,63,0.6848739977390074,"(758242.7977055736, 3000000.0, 0.0, 0.9004445311680361)","[2, 0, 3, 1, 1]"
860,"[2, 0, 3, 1, 1]",143,23,0.6571321332401844,"(758242.7977055736, 3000000.0, 0.0, 0.9004445311680361)","[2, 0, 2, 1, 1]"
861,"[2, 0, 2, 1, 1]",139,35,0.6571321332401844,"(758242.7977055736, 1069226.97, 0.0, 0.9004445311680361)","[2, 1, 3, 1, 0]"
862,"[2, 1, 3, 1, 0]",158,43,0.7112148164946013,"(758242.7977055736, 8100000.0, -0.0, 0.4530779497643504)","[2, 1, 3, 1, 1]"
863,"[2, 1, 3, 1, 1]",159,56,0.6972084965624823,"(758242.7977055736, 4900000.0, 0.0, 0.8985146454177777)","[2, 2, 0, 1, 0]"
864,"[2, 2, 0, 1, 0]",162,14,0.7112148164946013,"(758242.7977055736, 28000000.0, -0.0, 0.4530779497643504)","[2, 1, 2, 1, 0]"
865,"[2, 1, 2, 1, 0]",154,22,0.7383189369819699,"(758242.7977055736, 10000000.0, -0.0, 0.4530779497643504)","[2, 1, 1, 1, 1]"
866,"[2, 1, 1, 1, 1]",151,2,0.6584204200500147,"(758242.7977055736, 60000000.0, 0.0, 0.8897879507008649)","[2, 0, 3, 1, 1]"
867,"[2, 0, 3, 1, 1]",143,29,0.6703661473847196,"(758242.7977055736, 2700000.0, -0.0, 0.8799956983889148)","[2, 0, 3, 1, 1]"
868,"[2, 0, 3, 1, 1]",143,74,0.6606449151830177,"(758242.7977055736, 723240.68, -0.0, 0.8713871480202872)","[2, 1, 3, 1, 0]"
869,"[2, 1, 3, 1, 0]",158,57,0.7145859492917438,"(758242.7977055736, 15000000.0, -0.0, 0.42519227427334555)","[2, 1, 3, 1, 1]"
870,"[2, 1, 3, 1, 1]",159,12,0.8201185882918876,"(758242.7977055736, 130000000.0, 0.0, 0.7523800540662579)","[2, 2, 0, 1, 1]"
871,"[2, 2, 0, 1, 1]",163,9,0.6764409520295356,"(758242.7977055736, 1000000.0, 0.0, 0.7407239009600326)","[2, 1, 0, 1, 1]"
872,"[2, 1, 0, 1, 1]",147,64,0.6764883626764087,"(758242.7977055736, 4000000.0, 0.0, 0.7403317248005411)","[2, 0, 1, 0, 1]"
873,"[2, 0, 1, 0, 1]",133,75,0.6847067516737507,"(758242.7977055736, 417643.33, 0.0, 0.6723500277184838)","[2, 0, 2, 0, 0]"
